Area of usual residence – Code,Area of usual residence – Name,Area of usual residence – Geography,Number of live births – Total,Number of live births – Male,Number of live births – Female,Live births - within marriage or civil partnership,Live births - outside marriage or civil partnership,Live births - joint registrations same address,Live births - joint registrations different address,Live births - sole registrations,"Crude Birth Rate (CBR): - all births per 1,000 population of all ages","General Fertility Rate (GFR): - all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR),Percentage of live births - outside marriage or civil partnership,Percentage of live births under 2.5kg birthweight,Number of maternities,"Maternity Rate (Maternities per 1,000 women aged 15 to 44)",Number of maternities which took place at home,Percentage of maternities which took place at home
E07000112,Folkestone and Hythe,Non-metropolitan District,978,489,489,381,597,451,102,44,8.9,55.9,1.65,61,4.3,970,55.4,25,2.6
E07000109,Gravesham,Non-metropolitan District,1257,622,635,583,674,494,131,49,11.8,61,1.77,53.6,4.2,1255,60.9,29,2.3
E07000110,Maidstone,Non-metropolitan District,2071,1048,1023,973,1098,861,148,89,11.7,63.9,1.82,53,3.2,2057,63.4,34,1.7
E07000111,Sevenoaks,Non-metropolitan District,1275,645,630,684,591,462,90,39,10.6,62.6,1.88,46.4,3,1264,62.1,30,2.4
E07000113,Swale,Non-metropolitan District,1669,864,805,599,1070,779,211,80,11,60.7,1.78,64.1,3.8,1656,60.2,74,4.5
E07000114,Thanet,Non-metropolitan District,1360,712,648,447,913,659,177,77,9.7,56.9,1.67,67.1,5.4,1336,55.9,29,2.2
E07000115,Tonbridge and Malling,Non-metropolitan District,1404,689,715,730,674,523,97,54,10.6,59.5,1.75,48,3.1,1396,59.2,23,1.6
E07000116,Tunbridge Wells,Non-metropolitan District,1170,611,559,653,517,439,49,29,10.1,57.5,1.71,44.2,3.9,1153,56.7,20,1.7
E10000025,Oxfordshire,County,7380,3787,3593,4316,3064,2448,414,202,10.2,51.2,1.48,41.5,4.2,7314,50.8,307,4.2
E07000177,Cherwell,Non-metropolitan District,1884,975,909,1024,860,693,110,57,11.6,60.6,1.71,45.6,5.1,1866,60,55,2.9
E07000178,Oxford,Non-metropolitan District,1374,728,646,856,518,360,110,48,8.6,31.9,1.05,37.7,4.5,1357,31.5,56,4.1
E07000179,South Oxfordshire,Non-metropolitan District,1518,791,727,909,609,503,70,36,10.1,59.2,1.69,40.1,4.3,1504,58.7,67,4.5
E07000180,Vale of White Horse,Non-metropolitan District,1492,742,750,875,617,508,80,29,10.7,59.7,1.69,41.4,3.5,1485,59.4,67,4.5
E07000181,West Oxfordshire,Non-metropolitan District,1112,551,561,652,460,384,44,32,9.7,57.5,1.65,41.4,3.1,1102,57,62,5.6
E10000030,Surrey,County,12451,6402,6049,7605,4846,3919,586,341,10.3,56.4,1.67,38.9,6,12305,55.7,369,3
E07000207,Elmbridge,Non-metropolitan District,1474,762,712,980,494,422,41,31,10.6,60.8,1.8,33.5,5.1,1459,60.2,42,2.9
E07000208,Epsom and Ewell,Non-metropolitan District,813,416,397,521,292,228,38,26,10,53.5,1.58,35.9,5.5,800,52.7,25,3.1
E07000209,Guildford,Non-metropolitan District,1370,698,672,848,522,398,75,49,9.5,46.5,1.51,38.1,5.6,1355,46,55,4.1
E07000210,Mole Valley,Non-metropolitan District,745,381,364,433,312,252,35,25,8.5,54.7,1.7,41.9,5.1,739,54.3,33,4.5
E07000211,Reigate and Banstead,Non-metropolitan District,1750,926,824,1026,724,586,101,37,11.6,62.2,1.74,41.4,6.5,1732,61.6,61,3.5
E07000212,Runnymede,Non-metropolitan District,934,474,460,514,420,353,42,25,10.6,50.5,1.6,45,7.1,914,49.4,12,1.3
E07000213,Spelthorne,Non-metropolitan District,1180,625,555,659,521,399,81,41,11.5,60.5,1.71,44.2,7.7,1170,60,10,0.9
E07000214,Surrey Heath,Non-metropolitan District,874,442,432,545,329,263,44,22,9.6,55.6,1.64,37.6,4.2,862,54.9,19,2.2
E07000215,Tandridge,Non-metropolitan District,983,496,487,544,439,352,53,34,11.2,65.2,1.96,44.7,6.6,967,64.2,31,3.2
E07000216,Waverley,Non-metropolitan District,1207,615,592,794,413,343,42,28,9.4,56.7,1.74,34.2,4.2,1195,56.1,60,5
