Area of usual residence – Code,Area of usual residence – Name,Area of usual residence – Geography,Number of live births – Total,Number of live births – Male,Number of live births – Female,Live births - within marriage or civil partnership,Live births - outside marriage or civil partnership,Live births - joint registrations same address,Live births - joint registrations different address,Live births - sole registrations,"Crude Birth Rate (CBR): - all births per 1,000 population of all ages","General Fertility Rate (GFR): - all live births per 1,000 women aged 15 to 44",Total Fertility Rate (TFR),Percentage of live births - outside marriage or civil partnership,Percentage of live births under 2.5kg birthweight,Number of maternities,"Maternity Rate (Maternities per 1,000 women aged 15 to 44)",Number of maternities which took place at home,Percentage of maternities which took place at home
E07000217,Woking,Non-metropolitan District,1121,567,554,741,380,323,34,23,10.8,56,1.57,33.9,7.4,1112,55.5,21,1.9
E10000032,West Sussex,County,8515,4366,4149,4220,4295,3414,575,306,9.6,56.6,1.65,50.4,6,8433,56,328,3.9
E07000223,Adur,Non-metropolitan District,600,304,296,276,324,253,45,26,9.3,57,1.66,54,5.5,596,56.6,42,7
E07000224,Arun,Non-metropolitan District,1375,695,680,564,811,640,112,59,8.3,54.2,1.58,59,5.8,1362,53.7,37,2.7
E07000225,Chichester,Non-metropolitan District,1032,498,534,511,521,415,69,37,8.3,52.9,1.6,50.5,5.9,1024,52.5,33,3.2
E07000226,Crawley,Non-metropolitan District,1525,797,728,790,735,528,154,53,12.9,60.5,1.72,48.2,7.7,1514,60,33,2.2
E07000227,Horsham,Non-metropolitan District,1444,752,692,783,661,565,62,34,9.8,59.8,1.76,45.8,5.3,1424,59,76,5.3
E07000228,Mid Sussex,Non-metropolitan District,1557,813,744,855,702,585,67,50,10.2,59.2,1.72,45.1,5.3,1541,58.6,72,4.7
E07000229,Worthing,Non-metropolitan District,982,507,475,441,541,428,66,47,8.8,50.4,1.44,55.1,5.9,972,49.9,35,3.6
E12000009,SOUTH WEST,Region,52278,26865,25413,24785,27493,21593,3856,2044,9.2,51.8,1.51,52.6,5.1,51744,51.3,1785,3.4
E06000022,Bath and North East Somerset,Unitary Authority,1777,890,887,937,840,652,125,63,9.2,45.5,1.47,47.3,5.2,1752,44.9,61,3.5
E06000058,"Bournemouth, Christchurch and Poole",Unitary Authority,3668,1885,1783,1800,1868,1470,241,157,9.2,48.2,1.41,50.9,3.2,3628,47.7,136,3.7
E06000023,"Bristol, City of",Unitary Authority,5430,2771,2659,2722,2708,1894,521,293,11.5,46.5,1.32,49.9,4.9,5386,46.2,133,2.5
"E06000052, E06000053",Cornwall and Isles of Scilly,Unitary Authority,4834,2514,2320,1989,2845,2329,335,181,8.4,52.6,1.57,58.9,4.2,4772,52,243,5.1
E06000059,Dorset,Unitary Authority,2755,1398,1357,1278,1477,1197,171,109,7.2,51.6,1.57,53.6,5.6,2728,51.1,150,5.5
E06000024,North Somerset,Unitary Authority,2071,1025,1046,996,1075,869,136,70,9.5,57.6,1.71,51.9,3.3,2046,56.9,42,2.1
E06000026,Plymouth,Unitary Authority,2556,1314,1242,960,1596,1165,281,150,9.7,47.9,1.39,62.4,6.1,2534,47.5,68,2.7
E06000025,South Gloucestershire,Unitary Authority,3055,1599,1456,1569,1486,1188,206,92,10.5,54.7,1.54,48.6,4.4,3025,54.2,45,1.5
E06000030,Swindon,Unitary Authority,2580,1297,1283,1391,1189,949,164,76,11,56.6,1.61,46.1,5.2,2559,56.2,45,1.8
E06000027,Torbay,Unitary Authority,1114,586,528,376,738,553,118,67,8,51.8,1.54,66.2,6.4,1102,51.2,39,3.5
E06000054,Wiltshire,Unitary Authority,4593,2332,2261,2435,2158,1728,284,146,8.9,54.4,1.59,47,5.3,4534,53.7,154,3.4
E10000008,Devon,County,6644,3460,3184,3085,3559,2899,443,217,8.2,50.7,1.52,53.6,5.6,6589,50.3,260,3.9
E07000040,East Devon,Non-metropolitan District,1269,629,640,605,664,548,72,44,8.3,58.7,1.74,52.3,5.6,1255,58,49,3.9
E07000041,Exeter,Non-metropolitan District,1173,615,558,611,562,426,92,44,9.1,38.2,1.27,47.9,5.6,1161,37.8,49,4.2
E07000042,Mid Devon,Non-metropolitan District,703,374,329,326,377,317,42,18,8.5,53,1.6,53.6,4.3,697,52.5,31,4.4
E07000043,North Devon,Non-metropolitan District,825,429,396,357,468,380,68,20,8.3,54.1,1.61,56.7,5.8,820,53.8,23,2.8
E07000044,South Hams,Non-metropolitan District,641,333,308,315,326,271,36,19,7.2,50.7,1.53,50.9,5.5,636,50.3,36,5.7
E07000045,Teignbridge,Non-metropolitan District,1098,597,501,469,629,516,76,37,8.1,54.7,1.62,57.3,7.1,1089,54.3,44,4
E07000046,Torridge,Non-metropolitan District,516,267,249,198,318,256,39,23,7.5,53.9,1.63,61.6,4.8,517,54,11,2.1
E07000047,West Devon,Non-metropolitan District,419,216,203,204,215,185,18,12,7.3,53.3,1.65,51.3,4.3,414,52.7,17,4.1
E10000013,Gloucestershire,County,6138,3150,2988,2976,3162,2438,479,245,9.5,54.4,1.59,51.5,5.4,6059,53.7,205,3.4
E07000078,Cheltenham,Non-metropolitan District,1153,589,564,640,513,399,81,33,9.7,49.4,1.42,44.5,5,1137,48.7,24,2.1
E07000079,Cotswold,Non-metropolitan District,753,395,358,428,325,258,36,31,8.3,54.6,1.63,43.2,5.1,742,53.8,34,4.6
E07000080,Forest of Dean,Non-metropolitan District,775,409,366,318,457,376,60,21,8.9,56.8,1.73,59,7.2,766,56.1,26,3.4
E07000081,Gloucester,Non-metropolitan District,1452,719,733,612,840,592,156,92,11,55.4,1.59,57.9,6.1,1434,54.7,34,2.4
E07000082,Stroud,Non-metropolitan District,1022,523,499,473,549,440,79,30,8.4,53,1.57,53.7,4.4,1010,52.4,65,6.4
E07000083,Tewkesbury,Non-metropolitan District,983,515,468,505,478,373,67,38,10.3,59.3,1.68,48.6,4.8,970,58.6,22,2.3
E10000027,Somerset,County,5063,2644,2419,2271,2792,2262,352,178,8.8,55.7,1.64,55.1,6.4,5030,55.3,204,4.1
E07000187,Mendip,Non-metropolitan District,1049,566,483,482,567,451,76,40,9,57.1,1.73,54.1,5.3,1046,57,47,4.5
E07000188,Sedgemoor,Non-metropolitan District,1175,642,533,501,674,547,91,36,9.3,58.3,1.7,57.4,8.4,1164,57.8,38,3.3
E07000246,Somerset West and Taunton,Non-metropolitan District,1338,672,666,623,715,586,88,41,8.5,53.2,1.56,53.4,5.6,1330,52.8,47,3.5
E07000189,South Somerset,Non-metropolitan District,1501,764,737,665,836,678,97,61,8.7,55,1.61,55.7,6.2,1490,54.6,72,4.8
W92000004,WALES,Country,28781,14781,14000,10783,17998,12833,3700,1465,9.3,51.7,1.51,62.5,6.1,28524,51.3,1039,3.6
W06000001,Isle of Anglesey,Unitary Authority,592,302,290,191,401,313,62,26,8.6,57.2,1.72,67.7,7.4,585,56.5,16,2.7
W06000002,Gwynedd,Unitary Authority,1039,546,493,377,662,513,109,40,8.9,51.2,1.55,63.7,4.8,1033,50.9,39,3.8
W06000003,Conwy,Unitary Authority,921,488,433,312,609,466,94,49,8,53.9,1.58,66.1,7.4,910,53.3,21,2.3
W06000004,Denbighshire,Unitary Authority,919,464,455,277,642,463,122,57,9.6,60.8,1.82,69.9,6.7,911,60.3,30,3.3
W06000005,Flintshire,Unitary Authority,1470,735,735,577,893,688,137,68,9.5,55.3,1.62,60.7,6.7,1456,54.7,47,3.2
W06000006,Wrexham,Unitary Authority,1266,681,585,402,864,636,148,80,9.4,53.5,1.58,68.2,8,1250,52.8,40,3.2
W06000023,Powys,Unitary Authority,1054,555,499,405,649,556,64,29,7.9,55.7,1.66,61.6,5.5,1038,54.9,117,11.3
W06000008,Ceredigion,Unitary Authority,536,281,255,189,347,289,44,14,7.6,45.3,1.46,64.7,5.1,527,44.5,44,8.3
W06000009,Pembrokeshire,Unitary Authority,1010,525,485,331,679,515,128,36,8.2,53.6,1.59,67.2,6,1004,53.3,62,6.2
W06000010,Carmarthenshire,Unitary Authority,1540,804,736,562,978,735,183,60,8.2,50.8,1.51,63.5,5.5,1533,50.5,69,4.5
W06000011,Swansea,Unitary Authority,2067,1081,986,805,1262,814,340,108,8.7,46.4,1.37,61.1,6.4,2051,46.1,66,3.2
W06000012,Neath Port Talbot,Unitary Authority,1249,634,615,380,869,591,219,59,8.8,49.6,1.47,69.6,7.3,1232,48.9,37,3
W06000013,Bridgend,Unitary Authority,1370,717,653,494,876,630,169,77,9.4,54,1.57,63.9,5.5,1360,53.6,72,5.3
W06000014,Vale of Glamorgan,Unitary Authority,1205,622,583,539,666,479,115,72,9.1,52.7,1.57,55.3,3.3,1195,52.3,46,3.8
W06000015,Cardiff,Unitary Authority,3818,1914,1904,2013,1805,1155,445,205,10.6,45.6,1.36,47.3,4.9,3787,45.2,88,2.3
W06000016,Rhondda Cynon Taf,Unitary Authority,2262,1121,1141,659,1603,1088,400,115,9.5,51,1.49,70.9,6.2,2246,50.7,60,2.7
W06000024,Merthyr Tydfil,Unitary Authority,614,332,282,171,443,274,125,44,10.4,55.5,1.62,72.1,8.5,610,55.2,11,1.8
W06000018,Caerphilly,Unitary Authority,1616,858,758,493,1123,794,244,85,9.2,50.5,1.48,69.5,6.4,1608,50.3,32,2
W06000019,Blaenau Gwent,Unitary Authority,673,344,329,164,509,341,124,44,10,55.8,1.58,75.6,6.8,662,54.9,10,1.5
W06000020,Torfaen,Unitary Authority,943,487,456,303,640,437,141,62,10.2,56,1.61,67.9,6.7,933,55.4,46,4.9
W06000021,Monmouthshire,Unitary Authority,727,344,383,326,401,326,53,22,7.8,52.3,1.57,55.2,5.5,719,51.7,43,6
W06000022,Newport,Unitary Authority,1890,946,944,813,1077,730,234,113,11.8,60.3,1.7,57,6.1,1874,59.8,43,2.3
J99000001,Usual residence outside England and Wales,Country,99,53,46,61,38,23,9,6,[x],[x],[x],38.4,22.7,113,[x],0,[x]
S92000003,SCOTLAND,Country,47786,24542,23244,22094,25692,[x],[x],[x],8.7,46.3,1.31,53.8,[x],[x],[x],[x],[x]
S12000033,Aberdeen City,Council Area,2040,1030,1010,1066,974,[x],[x],[x],9,41,1.12,47.7,[x],[x],[x],[x],[x]
S12000034,Aberdeenshire,Council Area,2336,1178,1158,1235,1101,[x],[x],[x],8.9,54.4,1.67,47.1,[x],[x],[x],[x],[x]
S12000041,Angus,Council Area,911,443,468,393,518,[x],[x],[x],7.8,49,1.48,56.9,[x],[x],[x],[x],[x]
S12000035,Argyll and Bute,Council Area,599,301,298,271,328,[x],[x],[x],6.9,50.3,1.54,54.8,[x],[x],[x],[x],[x]
S12000036,City of Edinburgh,Council Area,4654,2342,2312,2735,1919,[x],[x],[x],8.8,36.7,0.98,41.2,[x],[x],[x],[x],[x]
S12000005,Clackmannanshire,Council Area,498,275,223,178,320,[x],[x],[x],9.7,57.3,1.71,64.3,[x],[x],[x],[x],[x]
S12000006,Dumfries and Galloway,Council Area,1083,558,525,433,650,[x],[x],[x],7.3,48.6,1.44,60,[x],[x],[x],[x],[x]
S12000042,Dundee City,Council Area,1255,648,607,478,777,[x],[x],[x],8.5,38.4,1.05,61.9,[x],[x],[x],[x],[x]
S12000008,East Ayrshire,Council Area,1121,581,540,401,720,[x],[x],[x],9.2,53,1.55,64.2,[x],[x],[x],[x],[x]
S12000045,East Dunbartonshire,Council Area,896,471,425,561,335,[x],[x],[x],8.2,52.8,1.6,37.4,[x],[x],[x],[x],[x]
S12000010,East Lothian,Council Area,975,522,453,449,526,[x],[x],[x],8.9,52,1.52,53.9,[x],[x],[x],[x],[x]
S12000011,East Renfrewshire,Council Area,790,446,344,557,233,[x],[x],[x],8.2,49.1,1.56,29.5,[x],[x],[x],[x],[x]
S12000014,Falkirk,Council Area,1466,751,715,659,807,[x],[x],[x],9.1,51.1,1.5,55,[x],[x],[x],[x],[x]
S12000047,Fife,Council Area,3157,1623,1534,1273,1884,[x],[x],[x],8.4,47.2,1.39,59.7,[x],[x],[x],[x],[x]
S12000049,Glasgow City,Council Area,5931,3071,2860,2689,3242,[x],[x],[x],9.3,39.7,1.06,54.7,[x],[x],[x],[x],[x]
S12000017,Highland,Council Area,1885,956,929,794,1091,[x],[x],[x],7.9,48.9,1.47,57.9,[x],[x],[x],[x],[x]
S12000018,Inverclyde,Council Area,605,324,281,230,375,[x],[x],[x],7.9,46.8,1.37,62,[x],[x],[x],[x],[x]
S12000019,Midlothian,Council Area,1070,557,513,527,543,[x],[x],[x],11.3,60.6,1.72,50.7,[x],[x],[x],[x],[x]
S12000020,Moray,Council Area,846,438,408,392,454,[x],[x],[x],8.8,53.5,1.59,53.7,[x],[x],[x],[x],[x]
S12000013,Na h-Eileanan Siar,Council Area,181,92,89,107,74,[x],[x],[x],6.8,46.6,1.45,40.9,[x],[x],[x],[x],[x]
S12000021,North Ayrshire,Council Area,1069,544,525,363,706,[x],[x],[x],8,47.9,1.41,66,[x],[x],[x],[x],[x]
S12000050,North Lanarkshire,Council Area,3285,1703,1582,1271,2014,[x],[x],[x],9.6,51.4,1.53,61.3,[x],[x],[x],[x],[x]
S12000023,Orkney Islands,Council Area,170,97,73,87,83,[x],[x],[x],7.5,48.6,1.4,48.8,[x],[x],[x],[x],[x]
S12000048,Perth and Kinross,Council Area,1192,597,595,576,616,[x],[x],[x],7.7,48.6,1.44,51.7,[x],[x],[x],[x],[x]
S12000038,Renfrewshire,Council Area,1647,810,837,757,890,[x],[x],[x],9.2,49.6,1.4,54,[x],[x],[x],[x],[x]
S12000026,Scottish Borders,Council Area,852,446,406,381,471,[x],[x],[x],7.3,49.6,1.52,55.3,[x],[x],[x],[x],[x]
S12000027,Shetland Islands,Council Area,199,106,93,88,111,[x],[x],[x],8.7,52.9,1.58,55.8,[x],[x],[x],[x],[x]
S12000028,South Ayrshire,Council Area,774,394,380,311,463,[x],[x],[x],6.9,44.7,1.35,59.8,[x],[x],[x],[x],[x]
S12000029,South Lanarkshire,Council Area,3107,1615,1492,1422,1685,[x],[x],[x],9.6,54.6,1.6,54.2,[x],[x],[x],[x],[x]
S12000030,Stirling,Council Area,670,349,321,341,329,[x],[x],[x],7.2,37.3,1.12,49.1,[x],[x],[x],[x],[x]
S12000039,West Dunbartonshire,Council Area,768,379,389,256,512,[x],[x],[x],8.7,48.4,1.4,66.7,[x],[x],[x],[x],[x]
S12000040,West Lothian,Council Area,1725,884,841,794,931,[x],[x],[x],9.3,49.9,1.47,54,[x],[x],[x],[x],[x]
N92000002,NORTHERN IRELAND ,Country,20108,10342,9766,10496,9612,4280,4521,811,10.6,55.8,1.64,47.8,[x],19607,54.4,[x],[x]
N09000001,Antrim and Newtownabbey,Local Government District,1587,839,748,846,741,391,295,55,10.9,58.1,1.72,46.7,[x],1546,56.6,[x],[x]
N09000011,Ards and North Down,Local Government District,1483,780,703,829,654,388,227,39,9.1,54.1,1.62,44.1,[x],1447,52.8,[x],[x]
N09000002,"Armagh City, Banbridge and Craigavon",Local Government District,2633,1366,1267,1486,1147,605,462,80,12,63.9,1.89,43.6,[x],2573,62.5,[x],[x]
N09000003,Belfast,Local Government District,2563,1309,1254,714,1849,481,1167,201,7.4,33.7,0.96,72.1,[x],2492,32.8,[x],[x]
N09000004,Causeway Coast and Glens,Local Government District,1466,771,695,772,694,314,311,69,10.3,59.1,1.78,47.3,[x],1430,57.6,[x],[x]
N09000005,Derry City and Strabane,Local Government District,1868,935,933,722,1146,342,690,114,12.4,64.2,1.92,61.3,[x],1832,63,[x],[x]
N09000006,Fermanagh and Omagh,Local Government District,1385,687,698,909,476,270,188,18,11.8,67.9,2.04,34.4,[x],1345,66,[x],[x]
N09000007,Lisburn and Castlereagh,Local Government District,1433,709,724,868,565,298,217,50,9.6,52.2,1.49,39.4,[x],1403,51.1,[x],[x]
N09000008,Mid and East Antrim,Local Government District,1355,742,613,729,626,326,241,59,9.7,55.4,1.67,46.2,[x],1327,54.2,[x],[x]
N09000009,Mid Ulster,Local Government District,2045,1064,981,1326,719,373,293,53,13.6,70.9,2.08,35.2,[x],1985,68.8,[x],[x]
N09000010,"Newry, Mourne and Down",Local Government District,2290,1140,1150,1295,995,492,430,73,12.6,68.5,2.03,43.4,[x],2227,66.6,[x],[x]
